"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"0.125Wresistor","DIL","","","","","","R3 R5 R2 R4","4"
"B3F-1050","DIP","","","","","","SW3 SW6","2"
"BoosterPack","QIP","","","","","","U3","1"
"Capacitor","C","","","","","","C4 C5","2"
"CoinSelector","DIL","","","","","","CS","1"
"Header1","SIP","","","","","","PD1 PD0 PB7 PB6 PB5","5"
"Header2","SIP","","","","","","J1 J2","2"
"KSC353JLFG","SM","","","","","","RST","1"
"LEDT1.75","SIP","","","","","","D1 D2","2"
"LM2937ET-3.3","TO220","","","","","","U1","1"
"LogicAnalyzer","DIP","","","","","","J3","1"
"MIKROE","DIL","","","","","","MK1","1"
"OffBoardPowerSwitch","DIP","","","","","","SW2","1"
"ST7735","LCD","","","","","","J4","1"
"tantalum","C","","","","","","C2 C1","2"
"testpoint","BIG","","","","","","GPO RF CSP CSC SDA SCL","6"
"Testpoint_TwoHole","DIL","","","","","","Gnd Gnd3 TP2 TP1","4"
"USB_Micro-B_SM","SM","","","","","","J5","1"
"","","","","","","","","38"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
